"","x"
"1761","单"
"1762","入库"
"1763","单"
"1764","购销合同"
"1765","都是"
"1766","假"
"1767","应付"
"1768","税务"
"1769","检查"
"1770","荆门市国税局"
"1771","稽查局"
"1772","提供的"
"1773","案件"
"1774","移交"
"1775","函"
"1776","协查"
"1777","函"
"1778","浙江省"
"1779","温州市"
"1780","苍南县"
"1781","国家税务局"
"1782","稽查局"
"1783","证实"
"1784","虚开"
"1785","通知单"
"1786","发票"
"1787","明细"
"1788","税务"
"1789","事项"
"1790","通知书"
"1791","注销"
"1792","税务"
"1793","登记"
"1794","证明"
"1795","证实"
"1796","荆门市国税局"
"1797","稽查局"
"1798","弘润祥"
"1799","公司"
"1800","接受"
"1801","苍南县"
"1802","超明"
"1803","纺织品"
"1804","有限公司"
"1805","开具"
"1806","份"
"1807","增值税发票"
"1808","进行"
"1809","协查"
"1810","核实"
"1811","证明"
"1812","份"
"1813","发票"
"1814","虚开"
"1815","的事实"
"1816","弘润祥"
"1817","公司"
"1818","注销"
"1819","税务"
"1820","登记"
"1821","情况"
"1822","协查"
"1823","函及"
"1824","协查"
"1825","页面"
"1826","截图"
"1827","证实"
"1828","荆门市公安局"
"1829","各地"
"1830","相关单位"
"1831","发出"
"1832","协查"
"1833","函"
"1834","请求"
"1835","协查"
"1836","相关"
"1837","内容"
"1838","情况"
"1839","仙桃"
"1840","市国家税务局"
"1841","稽查局"
"1842","湖北"
"1843","中盟"
"1844","服饰"
"1845","有限公司"
"1846","协查"
"1847","回复"
"1848","资料"
"1849","增值税"
"1850","纳税"
"1851","申报表"
"1852","应付账款"
"1853","明细账"
"1854","记账"
"1855","凭证"
"1856","增值税"
"1857","专用"
"1858","发票"
"1859","认证"
"1860","通知书"
"1861","证实"
"1862","弘"
"1863","润"
"1864","祥"
"1865","公司"
"1866","开具"
"1867","湖北"
"1868","中萌"
"1869","服饰"
"1870","有限公司"
"1871","增值税"
"1872","专用"
"1873","发票"
"1874","19"
"1875","份"
"1876","已经"
"1877","认证"
"1878","抵扣"
"1879","税额"
"1880","322690.6"
"1881","元"
"1882","湖南省"
"1883","炎陵县公安局"
"1884","炎陵县"
"1885","嘉盛"
"1886","服装"
"1887","织造"
"1888","有限公司"
"1889","协"
"1890","查资料"
"1891","浙江"
"1892","象山县公安局"
"1893","象山"
"1894","汉林"
"1895","制衣"
"1896","有限公司"
"1897","协"
"1898","查资料"
"1899","山东"
"1900","海阳市公安局"
"1901","海阳"
"1902","市中"
"1903","德"
"1904","制衣"
"1905","有限公司"
"1906","协"
"1907","查资料"
"1908","证实"
"1909","弘"
"1910","润"
"1911","祥"
"1912","公司"
"1913","开具"
"1914","炎陵县"
"1915","嘉盛"
"1916","服装"
"1917","织造"
"1918","有限公司"
"1919","象山"
"1920","汉林"
"1921","制衣"
"1922","有限公司"
"1923","增值税"
"1924","专用"
"1925","发票"
"1926","已经"
"1927","认证"
"1928","抵扣"
"1929","没有"
"1930","发现"
"1931","异常"
"1932","开具"
"1933","海阳"
"1934","市中"
"1935","德"
"1936","制衣"
"1937","有限公司"
"1938","增值税"
"1939","专用"
"1940","发票"
"1941","涉嫌"
"1942","违规"
"1943","借用"
"1944","票据"
"1945","开封市公安局"
"1946","宋门"
"1947","分局"
"1948","交管"
"1949","巡防"
"1950","大队"
"1951","出具"
"1952","查获"
"1953","证明材料"
"1954","羁押"
"1955","证明"
"1956","证实"
"1957","孙志强"
"1958","抓获"
"1959","羁押"
"1960","情况"
"1961","湖北省"
"1962","罚"
"1963","没收"
"1964","入"
"1965","票据"
"1966","证实"
"1967","孙志强"
"1968","退缴"
"1969","违法所得"
"1970","万元"
"1971","户籍"
"1972","证明"
"1973","证实"
"1974","被告人"
"1975","孙志强"
"1976","身份"
"1977","情况"
"1978","被告人"
"1979","孙志强"
"1980","上述"
"1981","事实"
"1982","供述"
"1983","辩解"
"1984","证据来源"
"1985","合法"
"1986","内容"
"1987","客观"
"1988","真实"
"1989","均"
"1990","庭审"
"1991","质证"
"1992","对其"
"1993","效力"
"1994","均"
"1995","予以"
"1996","确认"
"1997","本院"
"1998","认为"
"1999","被告人"
"2000","孙志强"
"2001","虚开"
"2002","增值税"
"2003","专用"
"2004","发票"
"2005","虚开"
"2006","增值税"
"2007","专用"
"2008","发票"
"2009","虚开"
"2010","税额"
"2011","1327086"
"2012","元"
"2013","行为"
"2014","构成"
"2015","虚开"
"2016","增值税"
"2017","专用"
"2018","发票"
"2019","罪"
"2020","公诉机关"
"2021","指控"
"2022","罪名"
"2023","成立"
"2024","被告人"
"2025","孙志强"
"2026","自愿"
"2027","认罪"
"2028","退缴"
"2029","赃款"
"2030","从轻处罚"
"2031","中华人民共和国刑法"
"2032","第二"
"2033","百零"
"2034","五条"
"2035","第一款"
"2036","规定"
"2037","判决"
"2038","被告人"
"2039","孙志强"
"2040","犯"
"2041","虚开"
"2042","增值税"
"2043","专用"
"2044","发票"
"2045","罪"
"2046","判处"
"2047","有期徒刑"
"2048","三年"
"2049","并处罚金人民币"
"2050","15"
"2051","万元"
"2052","刑期"
"2053","判决执行"
"2054","之日起"
"2055","计算"
"2056","判决执行"
"2057","前"
"2058","先行"
"2059","羁押"
"2060","羁押"
"2061","一日"
"2062","折抵"
"2063","刑期"
"2064","一日"
"2065","被告人"
"2066","孙志强"
"2067","刑期"
"2068","2016"
"2069","年"
"2070","月"
"2071","24"
"2072","日起"
"2073","2019"
"2074","年"
"2075","月"
"2076","23"
"2077","日止"
"2078","罚金"
"2079","限在"
"2080","判决"
"2081","生效之日"
"2082","一次性"
"2083","缴纳"
"2084","不服"
"2085","本判决"
"2086","接到"
"2087","判决书"
"2088","第二"
"2089","日起"
"2090","十日内"
"2091","本院"
"2092","直接"
"2093","湖北省"
"2094","荆门"
"2095","市中级人民法院"
"2096","提出上诉"
"2097","书面"
"2098","上诉"
"2099","应当"
"2100","提交"
"2101","上诉状"
"2102","正本"
"2103","一份"
"2104","副本"
"2105","二份"
"2106","审"
"2107","　"
"2108","判"
"2109","　"
"2110","长"
"2111","　"
"2112","　"
"2113","胡"
"2114","金华"
"2115","人民陪审员"
"2116","　"
"2117","　"
"2118","朱"
"2119","兴国"
"2120","人民陪审员"
"2121","　"
"2122","　"
"2123","王国"
"2124","斌"
"2125","二"
"2126","六年"
"2127","十二"
"2128","月"
"2129","二日"
"2130","书"
"2131","　"
"2132","记"
"2133","　"
"2134","员"
"2135","　"
"2136","　"
"2137","吴"
"2138","婷婷"
